basename,yield,solvent1,solvent2,solvent3,solvent4,solvent5,sol_molratio1,sol_molratio2,sol_molratio3,sol_molratio4,sol_molratio5,additive1,additive2,additive3,additive4,additive5,temperature_Celsius,time_h,core_All_Metals,counterions1,counterions2,counterions3,linker_1,linker_2
YOFGOR,,CCN(CC)C=O,,,,,1.0,,,,,,,,,,150,120,Mn,Cl,,,[O-]C(=O)c1cccc(c1)C(=O)[O-],[O-]C=O
NOQKOV,87.0,O,,,,,1.0,,,,,CCN(CC)CC,,,,,160,12,Co,Cl,,,[O-]C(=O)C1=C([N]C=N1)C(=O)[O-],n1ccc(cc1)c1ccc(cc1)c1ccncc1
REYJEM,,CN(C)C=O,,,,,1.0,,,,,Cl,,,,,160,24,In,NO3,,,[O-]C(=O)c1cc(OCC(COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])(COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],
ANIDIL,,CN(C)C=O,CCO,,,,0.159,0.841,,,,[NH4+].[OH-],,,,,160,48,Co,NO3,,,,
CUXFUX,65.0,O,,,,,1.0,,,,,C(=O)(C(=O)O)O,[OH-].[Na+],,,,180,72,Co,Cl,,,,
EXALAR,,O,,,,,1.0,,,,,,,,,,160,48,Ni,Cl,,,C(CN1[N]C=N[CH]1)CCN1[N]C=N[CH]1,C(CN1[N]C=N[CH]1)CCn1ncnc1
HEBNOT,,O,,,,,1.0,,,,,,,,,,160,48,"Zn,U",OAc|UO2,O,,,
IPIHIA,42.0,O,CO,,,,0.818,0.182,,,,[OH-].[Na+],,,,,160,48,Cd,NO3,,,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],c1ccc(c(c1)Cn1ncnc1)Cn1ncnc1
WUDJAI,31.0,O,,,,,1.0,,,,,,,,,,160,48,Co,NO3,,,[O-]C(=O)c1ccc(c(c1)S([O])([O])[O])C(=O)[O-],n1ccc(cc1)c1ccncc1
IZEBEV,,O,,,,,1.0,,,,,C(=O)(O)[O-].[Na+],,,,,160,60,Cd,OAC,,,[O-]C(=O)c1ccc(cc1)COc1cc(cc(c1)C(=O)[O-])C(=O)[O-],
WUPNIF,,O,,,,,1.0,,,,,C(=O)([O-])[O-].[Na+].[Na+],,,,,160,60,"Cu,Na,Zn",NO3,CO3,Cl,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],
IWOSAP,,O,,,,,1.0,,,,,CCN(CC)CC,,,,,160,65,Ho,NO3,,,[O-]C(=O)CCC(=O)[O-],
ACUJOZ,38.0,O,CN(C)C=O,,,,0.681,0.319,,,,[OH-].[Na+],,,,,160,72,"Cu,Cr",NO3,Cl,,,
AQEFUY,,O,,,,,1.0,,,,,[N+](=O)(O)[O-],,,,,160,72,Ag,NO3,,,n1ccncc1,
AVESAW,42.0,O,CC#N,,,,0.742,0.258,,,,,,,,,160,72,Cd,Cl,,,[N]1=CN=NC=1,[N]1C=NN=C1
DUFXOT,72.0,O,,,,,1.0,,,,,,,,,,160,72,Sr,Cl,,,[O-]C(=O)c1cc(cc(c1)S([O])([O])[O])C(=O)O,
ELOGUJ,42.0,O,,,,,1.0,,,,,Cl,,,,,160,72,"W,V,Co",O,NH4|O,Cl,c1ncn(c1)c1ccc(cc1)n1cncc1,
EXALIZ,,O,,,,,1.0,,,,,[OH-].[Na+],,,,,160,72,"Mo,Ni",unknown,Cl,,C(CN1[N]C=N[CH]1)CCn1ncnc1,C(Cn1ncnc1)CCn1ncnc1
FAHQIQ,,O,CN(C)C=O,,,,0.81,0.19,,,,,,,,,160,72,In,NO3,,,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],
FASHAK,65.0,O,,,,,1.0,,,,,C(=O)([O-])[O-].[Na+].[Na+],,,,,160,72,Pr,NO3,,,[O]c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
FIBFUS,,O,CCO,,,,0.951,0.049,,,,,,,,,160,72,Ni,ClO4,,,c1ncn(c1)Cc1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccc(cc1)Cn1cncc1)c1ccc(cc1)Cn1cncc1,
HABZEQ,46.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,160,72,Co,CH3COO,,,[O-]C(=O)c1cc(ccc1C(=O)[O-])C(=O)[O-],
HUWLUI,,CN(C)C=O,,,,,1.0,,,,,[N+](=O)(O)[O-],,,,,160,72,Th,NO3,,,,
JUNBOL,42.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,160,72,Cd,NO3,,,OC(=O)c1ccc(cc1)Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-],[O-]C(=O)c1ccc(cc1)Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
KAVNIH,62.0,C1=CC=NC=C1,CN(C)C=O,,,,0.028,0.972,,,,,,,,,160,72,Co,NO3,,,[O-]C(=O)c1c2ccccc2c(c2c1cccc2)C(=O)[O-],c1ncn(c1)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)n1cncc1)c1ccc(cc1)n1cncc1
KUJNEJ,65.0,CO,CC(=O)N(C)C,,,,0.363,0.637,,,,[OH-].[Na+],,,,,160,72,Ni,NO3,,,[O-]C(=O)c1ccc(cc1)c1ccncc1,[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]
LIJXEI,40.0,CCO,,,,,1.0,,,,,[OH-].[Na+],,,,,160,72,Cd,OAc,,,,
MUVROM,,O,CC#N,,,,0.812,0.188,,,,,,,,,160,72,Co,Ac,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],c1cc(cc(c1)n1cnnc1)n1cnnc1
NANMEW,63.0,O,CCO,,,,0.866,0.134,,,,CCN(CC)CC,,,,,160,72,"Mg,La",O,O,,[O-]C(=O)c1cccc(n1)C(=O)[O-],
NOMKUX,47.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,160,72,Ag,NO3,,,n1ccncc1,
NUNZUT,,CO,O,,,,0.082,0.918,,,,,,,,,160,72,Cu,NO3,,,,
ONEJUN,,O,,,,,1.0,,,,,Cl,,,,,160,72,"W,Cu",unknown,Cl,,[O]P(=O)([O])[O],n1ccncc1
ORUHAM,63.0,O,CO,,,,0.692,0.308,,,,,,,,,160,72,Cd,NO3,,,[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-],c1cnc(cn1)C1=N[C](N[N]1)c1ccncc1
PEWKOT,77.0,CC#N,O,,,,0.207,0.793,,,,CCN(CC)CC,,,,,160,72,Cd,NO3,,,Brc1ccc(cc1)C1=NC(=C([N]1)C(=O)[O-])C(=O)[O-],n1ccc(cc1)c1ccncc1
PUPXII,64.0,O,,,,,1.0,,,,,,,,,,160,72,Mn,Cl,,,[O-]C(=O)c1[nH]c(nc1C(=O)[O-])c1ccncc1,
PURNEX,65.0,O,,,,,1.0,,,,,Cl,,,,,160,72,"W,Cu,Si",,Cl,,[O][Si]([O])([O])[O],c1ncn(c1)c1ccc(cc1)n1cncc1
PURNIB,57.0,O,,,,,1.0,,,,,Cl,,,,,160,72,"W,Co,Si,K,Cu",unknown,unknown,,[O][Si]([O])([O])[O],c1ncn(c1)c1ccc(cc1)n1cncc1
REKZIR,,O,CCO,,,,0.446,0.554,,,,[OH-].[Na+],,,,,160,72,Cd,MeCO2,,,,
SIVWUR,70.0,O,CC#N,,,,0.896,0.104,,,,,,,,,160,72,Cd,I,,,[O-]C(=O)c1cccc(c1)c1cncc(c1)c1cccc(c1)C(=O)[O-],
TIKMEH,44.0,O,C(CO)O,,,,0.755,0.245,,,,[Li+].O.[OH-],,,,,160,72,Cd,NO3,,,[O-]C(=O)c1c(cccc1C(=O)[O-])C(=O)[O-],n1ccc(cc1)c1ccncc1
TIXCIO,42.0,CO,O,,,,0.082,0.918,,,,,,,,,160,72,Cd,ClO4,,,n1cc([nH]c1)c1cc(cc(c1)c1[nH]cnc1)c1[nH]cnc1,
VAKREG,75.0,CN(C)C=O,,,,,1.0,,,,,,,,,,160,72,Co,NO3,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],
VIZQEC,63.0,CO,CN(C)C=O,,,,0.655,0.345,,,,,,,,,160,72,Co,Cl,,,[O-]C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)C(=O)[O-],
VOCCOH,49.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,160,72,Ni,OAc,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(ccc1C(=O)[O-])C(=O)[O-],
VUHGAH,70.0,O,CCO,,,,0.446,0.554,,,,[OH-].[Na+],,,,,160,72,Co,ClO4,,,[O-]C(=O)c1cc(cc(c1)n1cncc1)n1cncc1,
WODQUD,,O,,,,,1.0,,,,,,,,,,160,72,Sm,NO3,,,[O-]C(=O)C(=O)[O-],[O-]C(=O)c1[nH][n-]c(c1)C(=O)[O-]
XADDOX,,CO,,,,,1.0,,,,,,,,,,160,72,Co,OAc,,,[O-]C(=O)c1cccc(c1)C(=O)[O-],
XAXQEU,60.0,O,CC#N,,,,0.852,0.148,,,,,,,,,160,72,In,Cl,,,[O-]C(=O)C1CCC(CC1)C(=O)[O-],
XOVVEK,81.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,160,72,Zn,NO3,,,[N]1C=NN=C1,[O-]C(=O)c1cccc(c1)C(=O)[O-]
XULDOZ,65.0,CC#N,CO,O,C1COCCO1,,0.019,0.048,0.43,0.503,,[OH-].[Na+],,,,,160,72,Co,NO3,,,[O-]C(=O)c1cc(OCCCCCOc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],
YOQYOT,,O,,,,,1.0,,,,,CCN(CC)CC,,,,,160,72,Cd,NO3,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],n1ncn(c1)CCn1cnnc1
FEYDET,,O,C1=CC=NC=C1,,,,0.947,0.053,,,,,,,,,160,85,In,Cl,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
AGUWUV,56.0,O,,,,,1.0,,,,,,,,,,160,96,Ni,Cl,,,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],c1cnc(cn1)C1=NN=N[N]1
COVYIX,60.0,O,,,,,1.0,,,,,CCN(CC)CC,,,,,160,96,Cu,OAc,,,,
GIKMOD,39.0,O,,,,,1.0,,,,,CCN(CC)CC,,,,,160,96,Cu,Cl,,,[O-]C(=O)c1cc(cc(c1)S([O])([O])[O])C(=O)[O-],
ITIPAE,63.0,CN(C)C=O,,,,,1.0,,,,,,,,,,160,96,Zn,NO3,,,[O-]C=O,
KAVGAQ,66.0,O,,,,,1.0,,,,,CCN(CC)CC,,,,,160,96,Co,NO3,,,[O-]C(=O)C1=C([N]C=N1)C(=O)[O-],n1ccc(cc1)c1ccncc1
KUQWIE,35.9,O,,,,,1.0,,,,,C(CN)N,,,,,160,96,Cd,Cl,,,[O-]C(=O)C1CCN(CC1)CP(=O)([O])[O],
NEYJIM,58.0,O,,,,,1.0,,,,,Cl,,,,,160,96,"Mo,Cu",unknown,Cl,,n1ccncc1,
NIHVUX,40.0,O,,,,,1.0,,,,,,,,,,160,96,"W,Mn,Ce",unknown,unknown,NO3,,
OWETIU,50.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,160,96,"W,Ag",O,NO3,,C(Cn1cncc1)CCn1cncc1,[CH2]CCCn1cncc1
QATXIU,25.0,CN(C)C=O,,,,,1.0,,,,,CCN(CC)CC,,,,,160,96,Cd,Br,,,[O-]C(=O)c1cccc(c1c1c(cccc1C(=O)[O-])C(=O)[O-])C(=O)[O-],
TAHYUZ,20.0,O,,,,,1.0,,,,,,,,,,160,96,Co,AC,,,[O-]C(=O)c1cc(c2ccc(cc2)C(=O)[O-])c(cc1C(=O)[O-])c1ccc(cc1)C(=O)[O-],
WUJPIC,17.0,CC(=O)N(C)C,CO,,,,0.637,0.363,,,,[OH-].[Na+],,,,,160,96,"Na,Co",OH,NO3,,,
HAVZIP,64.0,O,CCO,,,,0.928,0.072,,,,,,,,,160,120,Co,NO3,,,[O-]C(=O)C(=O)[O-],n1ccc(cc1)c1ccncc1
MIZKAI,,CN(C)C=O,,,,,1.0,,,,,CCN(CC)CC,,,,,160,120,Cd,NO3,,,,
TOJVIZ,72.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,160,120,Co,NO3,,,[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-],[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-]
TUGFAE,69.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,160,120,Ni,NO3,,,[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-],[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-]
XUHVON,45.0,CN(C)C=O,CCO,,,,0.751,0.249,,,,,,,,,160,120,Zn,NO3,,,N1=NN=C([N]1)c1ccc(cc1)C1=NN=N[N]1,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
QOKCID,80.0,O,,,,,1.0,,,,,[OH-].[K+],,,,,160,144,Zn,NO3,,,[O-]C(=O)c1cc(OCc2cccc(c2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],
TANLAX,,CN(C)C=O,,,,,1.0,,,,,OS(=O)(=O)O,,,,,160,144,Tb,O,,,[O]S(=O)(=O)[O],
JUKPEM,45.0,O,,,,,1.0,,,,,,,,,,160,50,"Ni,Na,W",Cl,unknown,unknown,,
VUQKAU,,CC(=O)N(C)C,,,,,1.0,,,,,,,,,,161,480,Mn,NO3,,,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],
NETYIV,37.5,O,,,,,1.0,,,,,Cl,,,,,165,96,Cu,Cl,,,N1=C[C]=C([C]=C1)c1ccncc1,n1ccc(cc1)c1ccncc1
SOGWIV,16.0,CCO,,,,,1.0,,,,,,,,,,165,168,Cd,NO3,,,[O-]C(=O)C(=O)[O-],
GISZUF,80.0,O,,,,,1.0,,,,,,,,,,170,24,Cd,SO4,,,[O]S(=O)(=O)[O],n1ccc(cc1)C1C(c2ccncc2)C(C1c1ccncc1)c1ccncc1
MITGIF,63.0,O,,,,,1.0,,,,,,,,,,170,36,Yb,Cl,,,[O-]C(=O)C1=[C]C(=C([C]=C1C(=O)[O-])C(=O)[O-])C(=O)[O-],[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-]
XOJWID,,CN(C)C=O,,,,,1.0,,,,,CCN(CC)CC,,,,,170,48,Zn,Ac,,,[O-]C(=O)c1ccc(cc1)P(=O)([O])[O],
XOJWOJ,,O,CC(CCO)O,,,,0.712,0.288,,,,,,,,,170,48,Zn,pbc,,,[O-]C(=O)c1ccc(cc1)P(=O)([O])[O],
DACXOV,,O,,,,,1.0,,,,,Cl,,,,,170,72,Tb,Cl,,,[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-],
FOXNIQ,60.0,O,,,,,1.0,,,,,CCN(CC)CC,,,,,170,72,"Gd,Co",NO3,Cl,,[O-]C(=O)c1ccc(cn1)C(=O)[O-],
GURTIX,78.0,O,,,,,1.0,,,,,,,,,,170,72,In,NO3,,,[O-]C(=O)c1cc(ccc1C(=O)[O-])C(=O)[O-],[O-]C(=O)c1ccc(cc1)C(=O)[O-]
GUSCIH,45.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,170,72,"Gd,Ni",NO3,NO3,,[O-]C(=O)C(=O)[O-],[O-]C(=O)c1ncccc1C(=O)[O-]
MAQJEW,15.0,O,,,,,1.0,,,,,,,,,,170,72,Ni,CH3COO,,,NN,[O-]C(=O)C(=O)[O-]
QOZWAF,,O,,,,,1.0,,,,,,,,,,170,72,"W,Ni",P|O,CH3COO,,[O]P(=O)([O])[O],
UZAFAD,81.0,O,,,,,1.0,,,,,,,,,,170,72,Ni,CO3,,,[O-]C(=O)C=CC(=O)[O-],c1ncn(c1)CC(Cn1cncc1)(Cn1cncc1)Cn1cncc1
UZAFIL,65.0,O,,,,,1.0,,,,,,,,,,170,72,Ni,CO3,,,[O-]C(=O)CCCCC(=O)[O-],c1ncn(c1)CC(Cn1cncc1)(Cn1cncc1)Cn1cncc1
WIVFIS,54.0,O,,,,,1.0,,,,,,,,,,170,72,Ag,NO3,,,,
KOQLUZ,28.0,O,,,,,1.0,,,,,Cl,C[N+](C)(C)C.[OH-],,,,170,96,"W,Cu,Si",unknown,NO3,,[O][Si]([O])([O])[O],c1ncn(c1)c1ccc(cc1)n1cncc1
QAWPIO,76.0,O,,,,,1.0,,,,,CC(=O)O,Cl,,,,170,96,"Ni,V",CH3COO,O,,n1ccc(cc1)c1ccncc1,
TAYNEN,45.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,170,96,Cd,NO3,,,C(Cc1ccncc1)Cc1ccncc1,Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
DUXKEN,,O,,,,,1.0,,,,,B(=O)OO,,,,,170,120,"Ni,V",NO3,O,,n1ccc(cc1)c1ccncc1,
INIRII,41.0,O,,,,,1.0,,,,,,,,,,170,168,"Tb,Ge",NO3,unknown,,,
INIROO,43.0,O,,,,,1.0,,,,,,,,,,170,168,"Dy,Ge",O,unknown,,,
MUZGAQ,30.0,O,,,,,1.0,,,,,Cl,,,,,170,168,"Dy,Zn",O,OAC,,[O-]C(=O)c1ccncc1,
PIGXAF,42.0,CN(C)C=O,CO,,,,0.412,0.588,,,,,,,,,170,168,Cd,CO3,,,[O-]C(=O)C(=O)[O-],
UFASAW,63.0,O,,,,,1.0,,,,,[OH-].[K+],,,,,170,168,Cd,NO3,,,[O-]C(=O)C1=C([N]C=N1)C(=O)[O-],n1ccc(cc1)c1ccncc1
UFASEA,21.0,O,,,,,1.0,,,,,[OH-].[K+],,,,,170,168,Cd,NO3,,,,
VAHQAY,43.0,O,,,,,1.0,,,,,,,,,,170,168,"Cu,Er",Cl,O,,[O-]C(=O)c1ccc(cc1)c1ccncc1,
QIYBUX,59.0,CO,O,,,,0.308,0.692,,,,,,,,,25,96,"Ag,Si",PF6,,,CC[Si](c1ccncc1)(c1ccncc1)C,
QIYCOS,53.0,CO,O,,,,0.308,0.692,,,,,,,,,25,72,"Ag,Si",PF6,,,C1CC[Si](C1)(c1ccncc1)c1ccncc1,CC[Si](c1ccncc1)(c1ccncc1)C
QIYCEI,54.0,CO,O,,,,0.308,0.692,,,,,,,,,25,72,"Ag,Si",PF6,,,,
QIYCIM,54.0,CO,O,,,,0.308,0.692,,,,,,,,,25,72,"Ag,Si",PF6,,,C1CC[Si](C1)(c1ccncc1)c1ccncc1,CC[Si](c1ccncc1)(c1ccncc1)CC
QIYCAE,62.0,CO,O,,,,0.308,0.692,,,,,,,,,25,48,"Ag,Si",PF6,,,C1CC[Si](C1)(c1ccncc1)c1ccncc1,
DOKHIV,30.0,CCO,O,,,,0.237,0.763,,,,,,,,,180,12,Cu,SO4,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],n1ccc(cc1)c1ccncc1
DOKHOB,35.0,CCO,O,,,,0.237,0.763,,,,,,,,,180,12,Cu,SO4,,,[O-]C(=O)c1c(C)c(C(=O)[O-])c(c(c1C)C(=O)[O-])C,n1ccc(cc1)c1ccncc1
AZAVOO,,O,CCN(CC)C=O,CCO,,,0.404,0.073,0.523,,,,,,,,120,24,Mg,NO3,,,[O-]C(=O)c1ccc(cc1)c1c(c2ccc(cc2)C(=O)[O-])c(c2ccc(cc2)C(=O)[O-])c(c(c1c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)O,
AZAVUU,,CN(C)C=O,O,,,,0.028,0.972,,,,,,,,,100,18,Cu,NO3,,,[O-]C(=O)c1ccc(cc1)c1c(c2ccc(cc2)C(=O)[O-])c(c2ccc(cc2)C(=O)[O-])c(c(c1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],
AZAWAB,,CCN(CC)C=O,O,,,,0.026,0.974,,,,,,,,,85,16,Cu,NO3,,,[O-]C(=O)c1ccc(cc1)c1c(c2ccc(cc2)C(=O)[O-])c(c2ccc(cc2)C(=O)[O-])c(c(c1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],
GOXMEN,40.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,180,24,Co,NO3,,,[O-]C(=O)c1cc(cc(c1)N1[CH][N]c2c1cccc2)n1ccnc1,[O-]C(=O)c1cc(cc(c1)n1cnc2c1cccc2)n1ccnc1
REYMOZ,87.6,O,,,,,1.0,,,,,,,,,,180,24,Cu,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
RIFGAQ,,O,,,,,1.0,,,,,,,,,,180,24,Cu,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
PUWCOZ,27.0,O,,,,,1.0,,,,,,,,,,180,40,Ni,NO3,,,[O-]C(=O)C12CC3(CC(C2)(CC(C1)(C3)C(=O)[O-])C(=O)[O-])C(=O)[O-],
HEBNIN,,O,,,,,1.0,,,,,[N+](=O)(O)[O-],,,,,180,48,"Zn,U",OAc|UO2,O,,,
WUCRUH,,O,,,,,1.0,,,,,[OH-].[K+],,,,,180,48,Fe,,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
PUWCEP,91.0,O,,,,,1.0,,,,,,,,,,180,60,Cd,NO3,,,,
ASUKEE,,O,,,,,1.0,,,,,[K+].[I-],,,,,180,72,Cu,ClO4,,,n1ccc(cc1)c1ccncc1,
DOKHUH,45.0,O,CCO,,,,0.763,0.237,,,,,,,,,180,72,Cd,NO3,,,[O-]C(=O)c1c(C)c(C(=O)[O-])c(c(c1C)C(=O)[O-])C,n1ccc(cc1)c1ccncc1
KEBDIG,50.0,CCO,O,,,,0.383,0.617,,,,Cl,,,,,180,72,Co,NO3,,,[O-]C(=O)c1cc(cc(c1)n1cnc2c1cccc2)n1cnc2c1cccc2,
LEDCAA,79.0,O,,,,,1.0,,,,,,,,,,180,72,Cd,Cl,,,,
LISZOE,12.0,CCO,O,,,,0.237,0.763,,,,,,,,,180,72,"Li,Y",OH,Cl,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],
NAGBUU,53.0,O,,,,,1.0,,,,,CCN(CC)CC,,,,,180,72,Co,Cl,,,[O-]C(=O)c1cc(cc(c1)N(=O)=O)C(=O)[O-],n1ccc(cc1)C1=NN=N[N]1
NEKMUN,60.0,O,,,,,1.0,,,,,,,,,,180,72,Co,Cl,,,[O-]C(=O)c1cc(Oc2ccccc2C(=O)O)cc(c1)C(=O)[O-],[O-]C(=O)c1cc(cc(c1)C(=O)[O-])Oc1ccccc1C(=O)[O-]
POKGEC,,O,,,,,1.0,,,,,[OH-].[Na+],,,,,180,72,Ni,SO4,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],c1ncn(c1)c1ccc(cc1)n1cncc1
REYPIW,45.0,O,,,,,1.0,,,,,,,,,,180,72,Zn,OAc,,,,
UJEFOE,29.3,O,,,,,1.0,,,,,Cl,,,,,180,72,Yb,Cl,,,[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-],
VOVKUO,,O,,,,,1.0,,,,,,,,,,180,72,U,NO3|O,,,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],
VOVLAV,,O,,,,,1.0,,,,,,,,,,180,72,U,NO3|O,,,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],
WEGKIE,,O,,,,,1.0,,,,,C[N+](C)(C)C.[OH-],,,,,180,72,Cu,Cl,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
YOJMAN,35.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,180,72,"W,Na,K,Co",unknown,,unknown,,
AQIQAU,,O,,,,,1.0,,,,,,,,,,180,96,Cd,CO3,,,[O-]C(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)[O-])c1ccncc1,
HAZGOF,,O,,,,,1.0,,,,,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,,,,,180,96,Sc,CH3CO2,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],
DEGPEL,25.0,O,,,,,1.0,,,,,,,,,,180,120,Cu,Cl,,,[N]1C=NN=C1,
GAWKAS,26.0,O,,,,,1.0,,,,,OCl(=O)(=O)=O,,,,,180,120,"Cu,Sm",Br,O,,[O-]C(=O)c1ccncc1,
OXAMIK,75.6,O,,,,,1.0,,,,,[OH-].[Na+],,,,,180,120,Co,SO4,,,[O]P(=O)(C(P(=O)([O])[O])(Cn1cncc1)O)O,
XIFLOP,62.0,O,,,,,1.0,,,,,,,,,,180,120,Cd,NO3,,,[C][C](C1=NC(=C([N]1)C(=O)[O-])C(=O)[O-])[C],[C][C](C1=N[C](C(=N1)C(=O)[O-])C(=O)[O-])[C]
XIFLUV,53.6,CCO,O,,,,0.237,0.763,,,,[OH-].[Na+],,,,,180,120,Cd,NO3,,,,
NOQKUB,64.0,O,C(CO)O,,,,0.977,0.023,,,,,,,,,180,144,Co,Cl,,,[O-]C(=O)C1=C([N]C=N1)C(=O)[O-],n1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1ccncc1
VUQLEZ,,CN(C)C=O,,,,,1.0,,,,,,,,,,180,144,Eu,O,,,[O]S(=O)(=O)[O],
ISUGIN,31.0,O,,,,,1.0,,,,,,,,,,180,168,Gd,O,,,[O-]C(=O)[C]1C=CC=NC1=O,
MALWUU,41.0,O,,,,,1.0,,,,,,,,,,180,168,Cd,CO3,,,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],
SAYKIO,56.0,O,,,,,1.0,,,,,,,,,,180,168,U,NO3|O,,,[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-],
WURNOO,40.0,O,,,,,1.0,,,,,CC(C)(C)C(=O)O,,,,,180,312,Cu,Br,,,[O-]C(=O)c1ccc(cc1)c1ccncc1,
UCOCUM,25.0,O,,,,,1.0,,,,,C[N+](C)(C)C.[OH-],,,,,200,16,Cu,NO3|unknown,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
PENXUC,55.0,O,,,,,1.0,,,,,F,,,,,200,48,V,NH4|O,,,[O]P(=O)(CCCP(=O)([O])[O])[O],
HAWREE,33.0,CN(C)C=O,CCO,,,,0.43,0.57,,,,,,,,,200,72,Mn,CH3COO,,,,
AXOHIE,39.0,O,,,,,1.0,,,,,CC[O-].[Na+],,,,,200,96,Cd,CH3COO,,,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],n1ccc(cc1)c1ccncc1
XUGWAZ,33.0,O,,,,,1.0,,,,,,,,,,200,240,Dy,Cl,,,[O]S(c1ccc(cc1)C1=C2C=CC(=C(c3ccc(cc3)S([O])([O])[O])C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccc(cc1)S([O])([O])[O])[N]4)c1ccc(cc1)S([O])([O])[O])C=C3)[N]2)([O])[O],
UTULUR,,O,,,,,1.0,,,,,,,,,,210,24,In,,,,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],
