iupac,smiles,expt,calc,inchi,selfies,expt_cat
2-methylpyrazine,Cc1cnccn1,-5.51,-6.161,"InChI=1S/C5H6N2/c1-5-4-6-2-3-7-5/h2-4H,1H3",[C][C][=C][N][=C][C][=N][Ring1][=Branch1],large
1-nitropropane,CCC[N+](=O)[O-],-3.34,-1.632,"InChI=1S/C3H7NO2/c1-2-3-4(5)6/h2-3H2,1H3",[C][C][C][N+1][=Branch1][C][=O][O-1],large
mesitylene,Cc1cc(cc(c1)C)C,-0.9,-0.553,"InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3",[C][C][=C][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C],very large
5-fluorouracil,c1c(c(=O)[nH]c(=O)[nH]1)F,-16.92,-16.371,"InChI=1S/C4H3FN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)",[C][=C][Branch1][=N][C][=Branch1][C][=O][NH1][C][=Branch1][C][=O][NH1][Ring1][Branch2][F],small
ethanol,CCO,-5.0,-3.394,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",[C][C][O],large
"1,4-dimethylnaphthalene",Cc1ccc(c2c1cccc2)C,-2.82,-3.081,"InChI=1S/C12H12/c1-9-7-8-10(2)12-6-4-3-5-11(9)12/h3-8H,1-2H3",[C][C][=C][C][=C][Branch1][O][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1][C],large
"2,3,7,8-tetrachlorodibenzo-p-dioxin",c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl,-3.37,-2.54,InChI=1S/C12H4Cl4O2/c13-5-1-9-10(2-6(5)14)18-12-4-8(16)7(15)3-11(12)17-9/h1-4H,[C][=C][C][=Branch1][#Branch2][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][O][C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=C][Ring1][=Branch1][O][Ring1][#C][Cl][Cl],large
dichlobenil,c1cc(c(c(c1)Cl)C#N)Cl,-4.71,-3.32,InChI=1S/C7H3Cl2N/c8-6-2-1-3-7(9)5(6)4-10/h1-3H,[C][=C][C][=Branch1][=N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][C][#N][Cl],large
ethyl formate,CCOC=O,-2.56,-3.867,"InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3",[C][C][O][C][=O],large
"1,2,4,5-tetrachlorobenzene",c1c(c(cc(c1Cl)Cl)Cl)Cl,-1.34,0.035,InChI=1S/C6H2Cl4/c7-3-1-4(8)6(10)2-5(3)9/h1-2H,[C][=C][Branch1][=C][C][=Branch1][#Branch2][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl],very large
diethoxymethoxybenzene,CCOC(OCC)Oc1ccccc1,-5.23,-5.203,"InChI=1S/C11H16O3/c1-3-12-11(13-4-2)14-10-8-6-5-7-9-10/h5-9,11H,3-4H2,1-2H3",[C][C][O][C][Branch1][Ring2][O][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],large
3-nitrophenol,c1cc(cc(c1)O)[N+](=O)[O-],-9.62,-7.889,"InChI=1S/C6H5NO3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H",[C][=C][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][N+1][=Branch1][C][=O][O-1],medium
octan-1-ol,CCCCCCCCO,-4.09,-2.69,"InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",[C][C][C][C][C][C][C][C][O],large
but-1-ene,CCC=C,1.38,2.367,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3",[C][C][C][=C],very large
carbon tetrachloride,C(Cl)(Cl)(Cl)Cl,0.08,1.185,"InChI=1S/CCl4/c2-1(3,4)5",[C][Branch1][C][Cl][Branch1][C][Cl][Branch1][C][Cl][Cl],very large
2-phenylethanol,c1ccc(cc1)CCO,-6.79,-5.28,"InChI=1S/C8H10O/c9-7-6-8-4-2-1-3-5-8/h1-5,9H,6-7H2",[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][O],large
fenuron,CN(C)C(=O)Nc1ccccc1,-9.13,-11.81,"InChI=1S/C9H12N2O/c1-11(2)9(12)10-8-6-4-3-5-7-8/h3-7H,1-2H3,(H,10,12)",[C][N][Branch1][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1],medium
methyldisulfanylmethane,CSSC,-1.83,-0.093,InChI=1S/C2H6S2/c1-3-4-2/h1-2H3,[C][S][S][C],very large
captan,C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,-9.01,-8.718,"InChI=1S/C9H8Cl3NO2S/c10-9(11,12)16-13-7(14)5-3-1-2-4-6(5)8(13)15/h1-2,5-6H,3-4H2/t5-,6-/m1/s1",[C][C][=C][C][C@@H1][C@@H1][Ring1][=Branch1][C][=Branch1][C][=O][N][Branch1][Branch1][C][Ring1][=Branch1][=O][S][C][Branch1][C][Cl][Branch1][C][Cl][Cl],medium
"2,3-diacetoxypropyl acetate",CC(=O)OCC(COC(=O)C)OC(=O)C,-8.84,-12.333,"InChI=1S/C9H14O6/c1-6(10)13-4-9(15-8(3)12)5-14-7(2)11/h9H,4-5H2,1-3H3",[C][C][=Branch1][C][=O][O][C][C][Branch1][Branch2][C][O][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C],medium
methoxymethane,COC,-1.91,-0.853,InChI=1S/C2H6O/c1-3-2/h1-2H3,[C][O][C],very large
hexane,CCCCCC,2.48,2.851,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",[C][C][C][C][C][C],very large
"1,2-dibromoethane",C(CBr)Br,-2.33,-1.275,InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2,[C][Branch1][Ring1][C][Br][Br],very large
"1,1,1,2,2-pentachloroethane",C(C(Cl)(Cl)Cl)(Cl)Cl,-1.23,0.059,"InChI=1S/C2HCl5/c3-1(4)2(5,6)7/h1H",[C][Branch1][=Branch2][C][Branch1][C][Cl][Branch1][C][Cl][Cl][Branch1][C][Cl][Cl],very large
5-trifluoromethyluracil,c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F,-15.46,-17.349,"InChI=1S/C5H3F3N2O2/c6-5(7,8)2-1-9-4(12)10-3(2)11/h1H,(H2,9,10,11,12)",[C][=C][Branch1][=N][C][=Branch1][C][=O][NH1][C][=Branch1][C][=O][NH1][Ring1][Branch2][C][Branch1][C][F][Branch1][C][F][F],small
"2,6-dimethylaniline",Cc1cccc(c1N)C,-5.21,-5.57,"InChI=1S/C8H11N/c1-6-4-3-5-7(2)8(6)9/h3-5H,9H2,1-2H3",[C][C][=C][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][N][C],large
propyl acetate,CCCOC(=O)C,-2.79,-3.486,"InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",[C][C][C][O][C][=Branch1][C][=O][C],large
quinoline,c1ccc2c(c1)cccn2,-5.72,-4.989,InChI=1S/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=N][Ring1][#Branch1],large
ethanethiol,CCS,-1.14,-0.395,"InChI=1S/C2H6S/c1-2-3/h3H,2H2,1H3",[C][C][S],very large
ethyldisulfanylethane,CCSSCC,-1.64,-0.979,"InChI=1S/C4H10S2/c1-3-5-6-4-2/h3-4H2,1-2H3",[C][C][S][S][C][C],very large
thiophene,c1ccsc1,-1.4,-0.359,InChI=1S/C4H4S/c1-2-4-5-3-1/h1-4H,[C][C][=C][S][C][=Ring1][Branch1],very large
1-ethylnaphthalene,CCc1cccc2c1cccc2,-2.4,-2.961,"InChI=1S/C12H12/c1-2-10-7-5-8-11-6-3-4-9-12(10)11/h3-9H,2H2,1H3",[C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1],large
pentan-2-one,CCCC(=O)C,-3.52,-3.166,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3",[C][C][C][C][=Branch1][C][=O][C],large
"1,2,3,4-tetrachloro-5-(2,3,4,6-tetrachlorophenyl)benzene",c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl,-4.61,-0.039,InChI=1S/C12H2Cl8/c13-4-2-6(15)9(17)11(19)7(4)3-1-5(14)10(18)12(20)8(3)16/h1-2H,[C][=C][Branch1][P][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][C][=C][Branch1][=C][C][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl],large
profluralin,CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-2.45,-1.956,"InChI=1S/C14H16F3N3O4/c1-2-5-18(8-9-3-4-9)13-11(19(21)22)6-10(14(15,16)17)7-12(13)20(23)24/h6-7,9H,2-5,8H2,1H3",[C][C][C][N@@][Branch1][#Branch1][C][C][C][C][Ring1][Ring1][C][=C][Branch2][Ring1][=Branch1][C][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][C][Branch1][C][F][Branch1][C][F][F][N+1][=Branch1][C][=O][O-1],large
acetic acid,CC(=O)O,-6.69,-7.281,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",[C][C][=Branch1][C][=O][O],large
acetaldehyde,CC=O,-3.5,-3.372,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",[C][C][=O],large
3-nitroaniline,c1cc(cc(c1)[N+](=O)[O-])N,-8.84,-8.204,"InChI=1S/C6H6N2O2/c7-5-2-1-3-6(4-5)8(9)10/h1-4H,7H2",[C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][N],medium
hex-1-yne,CCCCC#C,0.29,0.553,"InChI=1S/C6H10/c1-3-5-6-4-2/h1H,4-6H2,2H3",[C][C][C][C][C][#C],very large
2-methoxyaniline,COc1ccccc1N,-6.12,-6.771,"InChI=1S/C7H9NO/c1-9-7-5-3-2-4-6(7)8/h2-5H,8H2,1H3",[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N],large
phenol,c1ccc(cc1)O,-6.6,-5.707,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],large
propanenitrile,CCC#N,-3.84,-2.491,"InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3",[C][C][C][#N],large
naphthalen-1-ol,c1ccc2c(c1)cccc2O,-7.67,-7.137,"InChI=1S/C10H8O/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7,11H",[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][#Branch1][O],large
butyl acetate,CCCCOC(=O)C,-2.64,-3.406,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",[C][C][C][C][O][C][=Branch1][C][=O][C],large
aldicarb,CC(C)(/C=N\OC(=O)NC)SC,-9.84,-9.679,"InChI=1S/C7H14N2O2S/c1-7(2,12-4)5-9-11-6(10)8-3/h5H,1-4H3,(H,8,10)/b9-5-",[C][C][Branch1][C][C][Branch1][#Branch2][/C][=N][\O][C][=Branch1][C][=O][N][C][S][C],medium
o-cresol,Cc1ccccc1O,-5.9,-5.076,"InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3",[C][C][=C][C][=C][C][=C][Ring1][=Branch1][O],large
2-methylpropanal,CC(C)C=O,-2.86,-2.968,"InChI=1S/C4H8O/c1-4(2)3-5/h3-4H,1-2H3",[C][C][Branch1][C][C][C][=O],large
propionamide,CCC(=O)N,-9.4,-8.31,"InChI=1S/C3H7NO/c1-2-3(4)5/h2H2,1H3,(H2,4,5)",[C][C][C][=Branch1][C][=O][N],medium
1-bromopropane,CCCBr,-0.56,0.579,"InChI=1S/C3H7Br/c1-2-3-4/h2-3H2,1H3",[C][C][C][Br],very large
2-chloropropane,CC(C)Cl,-0.25,0.833,"InChI=1S/C3H7Cl/c1-3(2)4/h3H,1-2H3",[C][C][Branch1][C][C][Cl],very large
"1,3-dichloropropane",C(CCl)CCl,-1.89,-0.416,InChI=1S/C3H6Cl2/c4-2-1-3-5/h1-3H2,[C][Branch1][Ring1][C][Cl][C][Cl],very large
4-nitrophenol,c1cc(ccc1[N+](=O)[O-])O,-10.64,-8.472,"InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H",[C][=C][C][=Branch1][O][=C][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][O],medium
"1,2-dichloropropane",C[C@@H](CCl)Cl,-1.27,-0.265,"InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3/t3-/m0/s1",[C][C@@H1][Branch1][Ring1][C][Cl][Cl],very large
4-chloroaniline,c1cc(ccc1N)Cl,-5.9,-5.281,"InChI=1S/C6H6ClN/c7-5-1-3-6(8)4-2-5/h1-4H,8H2",[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][N][Cl],large
"1-amino-9,10-anthracenedione",c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N,-9.44,-12.214,"InChI=1S/C14H9NO2/c15-11-7-3-6-10-12(11)14(17)9-5-2-1-4-8(9)13(10)16/h1-7H,15H2",[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Branch2][=C][Ring1][=Branch1][C][Ring1][N][=O][N],medium
"2,3-dimethylpyridine",Cc1cccnc1C,-4.82,-3.367,"InChI=1S/C7H9N/c1-6-4-3-5-8-7(6)2/h3-5H,1-2H3",[C][C][=C][C][=C][N][=C][Ring1][=Branch1][C],large
pyridine-4-carbonitrile,c1cnccc1C#N,-6.02,-5.765,InChI=1S/C6H4N2/c7-5-6-1-3-8-4-2-6/h1-4H,[C][=C][N][=C][C][=C][Ring1][=Branch1][C][#N],large
diethoxy-(ethylsulfanylmethylsulfanyl)-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)SCSCC,-4.37,-6.427,"InChI=1S/C7H17O2PS3/c1-4-8-10(11,9-5-2)13-7-12-6-3/h4-7H2,1-3H3",[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][S][C][S][C][C],large
1-cyclohexylethanone,CC(=O)C1CCCCC1,-3.9,-4.003,"InChI=1S/C8H14O/c1-7(9)8-5-3-2-4-6-8/h8H,2-6H2,1H3",[C][C][=Branch1][C][=O][C][C][C][C][C][C][Ring1][=Branch1],large
2-methylbenzaldehyde,Cc1ccccc1C=O,-3.93,-4.554,"InChI=1S/C8H8O/c1-7-4-2-3-5-8(7)6-9/h2-6H,1H3",[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=O],large
1-(4-pyridyl)ethanone,CC(=O)c1ccncc1,-7.62,-7.566,"InChI=1S/C7H7NO/c1-6(9)7-2-4-8-5-3-7/h2-5H,1H3",[C][C][=Branch1][C][=O][C][=C][C][=N][C][=C][Ring1][=Branch1],large
"1,2,3,4,7,8-hexachlorodibenzo-p-dioxin",c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.71,-1.878,InChI=1S/C12H2Cl6O2/c13-3-1-5-6(2-4(3)14)20-12-10(18)8(16)7(15)9(17)11(12)19-5/h1-2H,[C][=C][C][=Branch1][#Branch2][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][O][C][=C][Branch1][P][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][O][Ring2][Ring1][Ring1],large
acetone,CC(=O)C,-3.8,-3.506,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,[C][C][=Branch1][C][=O][C],large
2-methylprop-1-ene,CC(=C)C,1.16,2.327,"InChI=1S/C4H8/c1-4(2)3/h1H2,2-3H3",[C][C][=Branch1][C][=C][C],very large
"1,2,3-trichloro-5-(2,5-dichlorophenyl)benzene",c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl,-3.61,-0.922,InChI=1S/C12H5Cl5/c13-7-1-2-9(14)8(5-7)6-3-10(15)12(17)11(16)4-6/h1-5H,[C][=C][C][=Branch2][Ring1][#Branch2][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl],large
1-nitropentane,CCCCC[N+](=O)[O-],-2.82,-1.325,"InChI=1S/C5H11NO2/c1-2-3-4-5-6(7)8/h2-5H2,1H3",[C][C][C][C][C][N+1][=Branch1][C][=O][O-1],large
(2E)-hex-2-enal,CCC/C=C/C=O,-3.68,-3.123,"InChI=1S/C6H10O/c1-2-3-4-5-6-7/h4-6H,2-3H2,1H3/b5-4+",[C][C][C][/C][=C][/C][=O],large
"N,N-dimethyl-4-nitro-benzamide",CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-],-11.95,-10.036,"InChI=1S/C9H10N2O3/c1-10(2)9(12)7-3-5-8(6-4-7)11(13)14/h3-6H,1-2H3",[C][N][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1],medium
tetrahydrofuran,C1CCOC1,-3.47,-2.201,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2,[C][C][C][O][C][Ring1][Branch1],large
octane,CCCCCCCC,2.88,3.088,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",[C][C][C][C][C][C][C][C],very large
trifluralin,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.25,-2.023,"InChI=1S/C13H16F3N3O4/c1-3-5-17(6-4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3",[C][C][C][N][Branch1][Ring2][C][C][C][C][=C][Branch2][Ring1][=Branch1][C][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][C][Branch1][C][F][Branch1][C][F][F][N+1][=Branch1][C][=O][O-1],large
"(3R)-3,7-Dimethylocta-1,6-dien-3-yl acetate",CC(=CCC[C@](C)(C=C)OC(=O)C)C,-2.49,-2.964,"InChI=1S/C12H20O2/c1-6-12(5,14-11(4)13)9-7-8-10(2)3/h6,8H,1,7,9H2,2-5H3/t12-/m0/s1",[C][C][=Branch2][Ring1][C][=C][C][C][C@][Branch1][C][C][Branch1][Ring1][C][=C][O][C][=Branch1][C][=O][C][C],large
"1,3-bis-(nitrooxy)butane",C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],-4.29,-4.944,"InChI=1S/C4H8N2O6/c1-4(12-6(9)10)2-3-11-5(7)8/h4H,2-3H2,1H3/t4-/m0/s1",[C][C@@H1][Branch1][=Branch2][C][C][O][N+1][=Branch1][C][=O][O-1][O][N+1][=Branch1][C][=O][O-1],large
2-isopropoxypropane,CC(C)OC(C)C,-0.53,-0.178,"InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",[C][C][Branch1][C][C][O][C][Branch1][C][C][C],very large
2-methylhexane,CCCCC(C)C,2.93,2.894,"InChI=1S/C7H16/c1-4-5-6-7(2)3/h7H,4-6H2,1-3H3",[C][C][C][C][C][Branch1][C][C][C],very large
"2-bromo-2-chloro-1,1,1-trifluoro-ethane",[C@@H](C(F)(F)F)(Cl)Br,-0.11,0.206,"InChI=1S/C2HBrClF3/c3-1(4)2(5,6)7/h1H/t1-/m0/s1",[C@@H1][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][Cl][Br],very large
1-butoxybutane,CCCCOCCCC,-0.83,0.139,"InChI=1S/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3",[C][C][C][C][O][C][C][C][C],very large
pentylcyclopentane,CCCCCC1CCCC1,2.55,2.381,"InChI=1S/C10H20/c1-2-3-4-7-10-8-5-6-9-10/h10H,2-9H2,1H3",[C][C][C][C][C][C][C][C][C][C][Ring1][Branch1],very large
"2,4-dimethylpentane",CC(C)CC(C)C,2.83,2.756,"InChI=1S/C7H16/c1-6(2)5-7(3)4/h6-7H,5H2,1-4H3",[C][C][Branch1][C][C][C][C][Branch1][C][C][C],very large
"2,5-dimethylpyridine",Cc1ccc(nc1)C,-4.72,-3.165,"InChI=1S/C7H9N/c1-6-3-4-7(2)8-5-6/h3-5H,1-2H3",[C][C][=C][C][=C][Branch1][Branch1][N][=C][Ring1][=Branch1][C],large
but-2-enal,C/C=C/C=O,-4.22,-3.341,"InChI=1S/C4H6O/c1-2-3-4-5/h2-4H,1H3/b3-2+",[C][/C][=C][/C][=O],large
3-methylhexane,CCC[C@H](C)CC,2.71,2.81,"InChI=1S/C7H16/c1-4-6-7(3)5-2/h7H,4-6H2,1-3H3/t7-/m1/s1",[C][C][C][C@H1][Branch1][C][C][C][C],very large
"1,3,5-trichloro-2-(2,6-dichlorophenyl)benzene",c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl,-1.96,-0.477,InChI=1S/C12H5Cl5/c13-6-4-9(16)12(10(17)5-6)11-7(14)2-1-3-8(11)15/h1-5H,[C][=C][C][=Branch2][Ring1][#Branch2][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][C][=C][Branch1][O][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl],very large
"1,2,2-trifluoroethoxybenzene",c1ccc(cc1)O[C@@H](C(F)F)F,-1.29,-3.043,"InChI=1S/C8H7F3O/c9-7(10)8(11)12-6-4-2-1-3-5-6/h1-5,7-8H/t8-/m0/s1",[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C@@H1][Branch1][=Branch1][C][Branch1][C][F][F][F],very large
"1,2-dimethoxyethane",COCCOC,-4.84,-3.103,"InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3",[C][O][C][C][O][C],large
sec-butylbenzene,CC[C@H](C)c1ccccc1,-0.45,-0.22,"InChI=1S/C10H14/c1-3-9(2)10-7-5-4-6-8-10/h4-9H,3H2,1-2H3/t9-/m0/s1",[C][C][C@H1][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],very large
3-phenylpropan-1-ol,c1ccc(cc1)CCCO,-6.92,-5.771,"InChI=1S/C9H12O/c10-8-4-7-9-5-2-1-3-6-9/h1-3,5-6,10H,4,7-8H2",[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][C][O],large
"2-[(1R)-1-methylpropyl]-4,6-dinitro-phenolate",CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],-6.23,-5.378,"InChI=1S/C10H12N2O5/c1-3-6(2)8-4-7(11(14)15)5-9(10(8)13)12(16)17/h4-6,13H,3H2,1-2H3/t6-/m1/s1",[C][C][C@@H1][Branch1][C][C][C][=C][C][=Branch1][=C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][N+1][=Branch1][C][=O][O-1][N+1][=Branch1][C][=O][O-1],large
methyl 4-methoxybenzoate,COc1ccc(cc1)C(=O)OC,-5.33,-6.462,"InChI=1S/C9H10O3/c1-11-8-5-3-7(4-6-8)9(10)12-2/h3-6H,1-2H3",[C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C],large
"N-(3,4-dichlorophenyl)propanimidic acid",CCC(=O)Nc1ccc(c(c1)Cl)Cl,-7.78,-9.409,"InChI=1S/C9H9Cl2NO/c1-2-9(13)12-6-3-4-7(10)8(11)5-6/h3-5H,2H2,1H3,(H,12,13)",[C][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][Cl],large
naproxen,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,-10.21,-12.199,"InChI=1S/C14H14O3/c1-9(14(15)16)10-3-4-12-8-13(17-2)6-5-11(12)7-10/h3-9H,1-2H3,(H,15,16)/t9-/m0/s1",[C][C@@H1][Branch2][Ring1][Ring1][C][=C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][O][C][C][=Branch1][C][=O][O],medium
octafluorocyclobutane,C1(C(C(C1(F)F)(F)F)(F)F)(F)F,3.43,3.077,"InChI=1S/C4F8/c5-1(6)2(7,8)4(11,12)3(1,9)10",[C][Branch2][Ring1][=Branch1][C][Branch1][#C][C][Branch1][Branch2][C][Ring1][Ring2][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F],very large
isopentyl acetate,CC(C)CCOC(=O)C,-2.21,-3.067,"InChI=1S/C7H14O2/c1-6(2)4-5-9-7(3)8/h6H,4-5H2,1-3H3",[C][C][Branch1][C][C][C][C][O][C][=Branch1][C][=O][C],very large
1-chlorohexane,CCCCCCCl,0.0,1.261,"InChI=1S/C6H13Cl/c1-2-3-4-5-6-7/h2-6H2,1H3",[C][C][C][C][C][C][Cl],very large
4-methylpentan-2-one,CC(C)CC(=O)C,-3.05,-3.116,"InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3",[C][C][Branch1][C][C][C][C][=Branch1][C][=O][C],large
hexanal,CCCCCC=O,-2.81,-2.86,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3",[C][C][C][C][C][C][=O],large
3-chloroaniline,c1cc(cc(c1)Cl)N,-5.82,-5.138,"InChI=1S/C6H6ClN/c7-5-2-1-3-6(8)4-5/h1-4H,8H2",[C][=C][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][N],large
morpholine,C1COCCN1,-7.17,-6.116,"InChI=1S/C4H9NO/c1-3-6-4-2-5-1/h5H,1-4H2",[C][C][O][C][C][N][Ring1][=Branch1],large
"1,1-diethoxyethane",CCOC(C)OCC,-3.28,-1.795,"InChI=1S/C6H14O2/c1-4-7-6(3)8-5-2/h6H,4-5H2,1-3H3",[C][C][O][C][Branch1][C][C][O][C][C],large
"N-butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline",CCCC[N@](CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.51,-2.303,"InChI=1S/C13H16F3N3O4/c1-3-5-6-17(4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3",[C][C][C][C][N@][Branch1][Ring1][C][C][C][=C][Branch2][Ring1][=Branch1][C][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][C][Branch1][C][F][Branch1][C][F][F][N+1][=Branch1][C][=O][O-1],large
methanethiol,CS,-1.2,-0.273,"InChI=1S/CH4S/c1-2/h2H,1H3",[C][S],very large
